Hotel Name,Location,Price,Rating,Discount Percentage,City
Hotel Anand Palace,Ahmedabad,"₹ 1,746",4.0,13% off,Ahmedabad
Hotel Nalanda,"Ellis Bridge, Ahmedabad","₹ 10,025",4.2,28% off,Ahmedabad
Pearl Of Heaven The Hotel,"Changodhar, Ahmedabad","₹ 2,431",4.1,31% off,Ahmedabad
The Westend,"Ellis Bridge, Ahmedabad","₹ 3,841",4.3,18% off,Ahmedabad
The President A Boutique Hotel,"Navrangpura, Ahmedabad","₹ 5,172",4.1,19% off,Ahmedabad
Hotel Shanti Sadan,"Ellis Bridge, Ahmedabad","₹ 2,155",2.5,14% off,Ahmedabad
Hotel Corporate Residency,"Sarkhej Gandhinagar Highway, Ahmedabad","₹ 2,317",2.5,17% off,Ahmedabad
Toran Hotel,Ahmedabad,"₹ 4,888",4.1,13% off,Ahmedabad
Dodhia Haveli,"Kalupur, Ahmedabad","₹ 4,364",2.5,13% off,Ahmedabad
R J Residency,"Hansol, Ahmedabad","₹ 7,848",4.4,24% off,Ahmedabad
"KRSNA Lila by The Blues Hotels, Sanand",Ahmedabad,"₹ 3,992",4.0,39% off,Ahmedabad
Kings Residency,"Airport Road, Ahmedabad","₹ 10,033",2.5,14% off,Ahmedabad
Kabir Residency,"Airport Road, Ahmedabad","₹ 6,167",2.5,13% off,Ahmedabad
Hotel Tushar,"Shahibaug, Ahmedabad","₹ 1,785",2.5,19% off,Ahmedabad
Hotel Tandoor Palace,"Airport Road, Ahmedabad","₹ 7,245",4.0,28% off,Ahmedabad
Hotel Sun Sarovar,"Maninagar, Ahmedabad","₹ 1,489",2.5,22% off,Ahmedabad
Hotel Shiv Inn,"Kalupur, Ahmedabad","₹ 4,821",2.5,13% off,Ahmedabad
Hotel Safari Guest House,"Sardar Patel Ring Road, Ahmedabad","₹ 4,824",2.5,13% off,Ahmedabad
Hotel Royal Plaza,"Ashram Road, Ahmedabad","₹ 1,109",2.5,15% off,Ahmedabad
Hotel Rajratna,Ahmedabad,"₹ 2,402",2.5,13% off,Ahmedabad
Hotel Parth Palace,"Bapunagar, Ahmedabad","₹ 4,680",2.5,22% off,Ahmedabad
Hotel Paras Residency,"Navrangpura, Ahmedabad","₹ 1,015",2.5,15% off,Ahmedabad
Hotel Orion Serviced Apartment -5,Ahmedabad,"₹ 6,328",2.5,13% off,Ahmedabad
Hotel Neelkanth Inn,"Paldi, Ahmedabad","₹ 2,732",2.5,15% off,Ahmedabad
Hotel Neelkamal,Ahmedabad,"₹ 6,444",4.4,24% off,Ahmedabad
Hotel Navjivan,"Sarkhej Gandhinagar Highway, Ahmedabad","₹ 3,263",4.0,18% off,Ahmedabad
Hotel Moscow,"Maninagar, Ahmedabad","₹ 2,610",2.5,18% off,Ahmedabad
Hotel Malwa Residency,Ahmedabad,"₹ 1,070",4.0,24% off,Ahmedabad
Hotel Jay Balaji,Ahmedabad,"₹ 4,587",2.5,13% off,Ahmedabad
Hotel Jasmine,"Paldi, Ahmedabad","₹ 2,119",2.5,22% off,Ahmedabad
