Hotel Name,Location,Price,Rating,Discount Percentage,City,Price_Category,Price_Band
Hotel Navjivan,"Sarkhej Gandhinagar Highway, Ahmedabad",3263,4,18,Ahmedabad,Mid-range,2K-5K
Hotel Moscow,"Maninagar, Ahmedabad",2610,2.5,18,Ahmedabad,Mid-range,2K-5K
Hotel Malwa Residency,Ahmedabad,1070,4,24,Ahmedabad,Budget,0-2K
Hotel Jay Balaji,Ahmedabad,4587,2.5,13,Ahmedabad,Mid-range,2K-5K
Hotel Jasmine,"Paldi, Ahmedabad",2119,2.5,22,Ahmedabad,Mid-range,2K-5K
Hotel Gitanjali,"Kalupur, Ahmedabad",843,2.5,16,Ahmedabad,Budget,0-2K
Hotel Flora,"Sardar Patel Ring Road, Ahmedabad",3672,2.5,15,Ahmedabad,Mid-range,2K-5K
Hotel Balaji AHMEDABAD,"Cg Road, Ahmedabad",5947,4.3,13,Ahmedabad,Luxury,5K-10K
Hotel Anupam,"Ashram Road, Ahmedabad",1746,2.5,13,Ahmedabad,Budget,0-2K
Hotel Angan Residency,"Off S.g. Road, Ahmedabad",4495,2.5,13,Ahmedabad,Mid-range,2K-5K
Hotel Aasopalav,"Gandhinagar Road, Ahmedabad",4479,4.4,13,Ahmedabad,Mid-range,2K-5K
Holiday Home Club Resort,Ahmedabad,4370,2.5,13,Ahmedabad,Mid-range,2K-5K
Gurukrupa Avenue Phase 2,Ahmedabad,5219,2.5,13,Ahmedabad,Luxury,5K-10K
Hotel Sri Balaji Residency,"Thaltej, Ahmedabad",1378,2.5,23,Ahmedabad,Budget,0-2K
Hotel Siddhartha Palace,"Shahibaug, Ahmedabad",2978,2.5,19,Ahmedabad,Mid-range,2K-5K
Deewanji Ni Haveli,"Khadia, Ahmedabad",6686,4.5,10,Ahmedabad,Luxury,5K-10K
Prithvi Hotel,"Maninagar, Ahmedabad",2457,2.5,18,Ahmedabad,Mid-range,2K-5K
Hotel Malhar,"Off S.g. Road, Ahmedabad",7463,2.5,14,Ahmedabad,Luxury,5K-10K
Hotel Kozar,"Relief Road, Ahmedabad",1449,4,48,Ahmedabad,Budget,0-2K
Vice President,"Ellis Bridge, Ahmedabad",3263,2.5,46,Ahmedabad,Mid-range,2K-5K
Hotel Rudra Regency,"Ashram Road, Ahmedabad",1001,2.5,17,Ahmedabad,Budget,0-2K
Rooms in Prahladnagar & S G Highway,"Prahlad Nagar, Ahmedabad",6215,2.5,13,Ahmedabad,Luxury,5K-10K
Ramdev Nagar Road Serviced Apartment,"Sarkhej Gandhinagar Highway, Ahmedabad",4807,4.3,13,Ahmedabad,Mid-range,2K-5K
Pg for boys and girls,"Prahlad Nagar, Ahmedabad",6539,2.5,13,Ahmedabad,Luxury,5K-10K
Mango - Bodakdev,"Bodakdev, Ahmedabad",4527,4.4,13,Ahmedabad,Mid-range,2K-5K
Leela Home Stay-4,"Thaltej, Ahmedabad",5155,2.5,13,Ahmedabad,Luxury,5K-10K
Laxmi Palace Paying Guest,"Ashram Road, Ahmedabad",5105,2.5,13,Ahmedabad,Luxury,5K-10K
Hotel Shiv Kunj,"Sardar Patel Ring Road, Ahmedabad",1229,2.5,13,Ahmedabad,Budget,0-2K
Hotel Sagar Inn,"Relief Road, Ahmedabad",1880,2.5,13,Ahmedabad,Budget,0-2K
Hotel Royal Night,"Ashram Road, Ahmedabad",1229,4.4,13,Ahmedabad,Budget,0-2K
Hotel Radiant,"Off S.g. Road, Ahmedabad",951,2.5,14,Ahmedabad,Budget,0-2K
Hotel Miracle,Ahmedabad,2437,2.5,19,Ahmedabad,Mid-range,2K-5K
Hotel Mayur Palace,"Sarkhej Gandhinagar Highway, Ahmedabad",4875,2.5,13,Ahmedabad,Mid-range,2K-5K
Hotel Chandra Palace,"Chandkheda, Ahmedabad",1826,4,11,Ahmedabad,Budget,0-2K
Holiday Home Ashram Road,"Ellis Bridge, Ahmedabad",6333,4.1,13,Ahmedabad,Luxury,5K-10K
Finesse International,"Prahlad Nagar, Ahmedabad",4663,4.2,13,Ahmedabad,Mid-range,2K-5K
4BHK Bunglow with fully furnished,"Sarkhej Gandhinagar Highway, Ahmedabad",6577,4.5,14,Ahmedabad,Luxury,5K-10K
Hotel Riverfront,"Paldi, Ahmedabad",1246,2.5,17,Ahmedabad,Budget,0-2K
